Section,QID,Question Text,Option Key,Option Text,Category
Somatic Patterns,SP4_Shoulders,What do you notice in your shoulders?,B,I shrug or move my shoulders often without realizing it.,Flight
Somatic Patterns,SP4_Shoulders,What do you notice in your shoulders?,C,My shoulders feel drooped or collapsed inward.,Freeze
Somatic Patterns,SP4_Shoulders,What do you notice in your shoulders?,D,My shoulders feel relaxed and aligned.,Regulated
Somatic Patterns,SP5_Gait,How would you describe your walking or standing posture?,A,I tend to walk or stand with a stiff or rigid posture.,Fight
Somatic Patterns,SP5_Gait,How would you describe your walking or standing posture?,B,"I feel light on my feet, almost like I’m avoiding the ground.",Flight
Somatic Patterns,SP5_Gait,How would you describe your walking or standing posture?,C,"I feel heavy, like I’m sinking into the ground.",Freeze
Somatic Patterns,SP5_Gait,How would you describe your walking or standing posture?,D,I feel grounded and steady when I walk or stand.,Regulated
Somatic Patterns,SP6_LongSit,"When you sit or stand for long periods, how does your body react?",A,"My legs feel tense, as if they’re ready to move at any moment.",Fight
Somatic Patterns,SP6_LongSit,"When you sit or stand for long periods, how does your body react?",B,I find myself fidgeting or needing to adjust often.,Flight
Somatic Patterns,SP6_LongSit,"When you sit or stand for long periods, how does your body react?",C,My lower body feels numb or disconnected.,Freeze
Somatic Patterns,SP6_LongSit,"When you sit or stand for long periods, how does your body react?",D,"My posture feels natural, and I can stay comfortable.",Regulated
Somatic Patterns,SP7_BreathGeneral,How does your breathing feel most of the time?,A,"Deep, forceful, or labored, like I’m preparing for action or bracing myself.",Fight
Somatic Patterns,SP7_BreathGeneral,How does your breathing feel most of the time?,B,"Quick and uneven, often tied to feeling rushed or restless.",Flight
Somatic Patterns,SP7_BreathGeneral,How does your breathing feel most of the time?,C,"Shallow and slow, as if I’m stuck or holding back.",Freeze
Somatic Patterns,SP7_BreathGeneral,How does your breathing feel most of the time?,D,"Deep and steady, with a sense of ease and balance.",Regulated
Somatic Patterns,SP8_BreathStress,"When you’re under stress, how does your breathing change?",A,"It becomes tight or high in my chest, like the air is stuck in my throat.",Fight
Somatic Patterns,SP8_BreathStress,"When you’re under stress, how does your breathing change?",B,"It speeds up and feels shallow, like I’m struggling to catch my breath.",Flight
Somatic Patterns,SP8_BreathStress,"When you’re under stress, how does your breathing change?",C,It feels like I stop breathing or hold my breath.,Freeze
Somatic Patterns,SP8_BreathStress,"When you’re under stress, how does your breathing change?",D,"It stays steady, even under pressure.",Regulated
Somatic Patterns,SP9_SleepPosition,What position do you typically sleep in?,A,"Tense or curled up, like I’m protecting myself.",Fight
Somatic Patterns,SP9_SleepPosition,What position do you typically sleep in?,B,"Restless, frequently changing positions.",Flight
Somatic Patterns,SP9_SleepPosition,What position do you typically sleep in?,C,"Heavy and still, almost like I’m stuck in one position.",Freeze
Somatic Patterns,SP9_SleepPosition,What position do you typically sleep in?,D,"Relaxed and natural, with ease to adjust if needed.",Regulated
Somatic Patterns,SP10_WakeFeel,How does your body feel when you wake up?,A,"Stiff, like I’ve been braced all night.",Fight
Somatic Patterns,SP10_WakeFeel,How does your body feel when you wake up?,B,"Restless, like I didn’t fully relax during sleep.",Flight
Somatic Patterns,SP10_WakeFeel,How does your body feel when you wake up?,C,"Heavy or sluggish, like it’s hard to get moving.",Freeze
Somatic Patterns,SP10_WakeFeel,How does your body feel when you wake up?,D,Refreshed and ready to start the day.,Regulated
Somatic Patterns,SP11_Sit,What do you notice about your body when you’re sitting?,A,I feel myself bracing or holding tension in my core or back.,Fight
Somatic Patterns,SP11_Sit,What do you notice about your body when you’re sitting?,B,I shift positions often or feel the need to move frequently.,Flight
Somatic Patterns,SP11_Sit,What do you notice about your body when you’re sitting?,C,I slouch or feel my body collapsing into the chair.,Freeze
Somatic Patterns,SP11_Sit,What do you notice about your body when you’re sitting?,D,I sit with ease and feel supported by my posture.,Regulated
Somatic Patterns,SP12_PhysActivity,"When you’re doing physical activity, what feels true?",A,"I over-engage my muscles, feeling tense or rigid.",Fight
Somatic Patterns,SP12_PhysActivity,"When you’re doing physical activity, what feels true?",B,I move quickly or find it hard to slow down.,Flight
Somatic Patterns,SP12_PhysActivity,"When you’re doing physical activity, what feels true?",C,I feel sluggish or disconnected from the activity.,Freeze
Somatic Patterns,SP12_PhysActivity,"When you’re doing physical activity, what feels true?",D,I feel aligned and connected to my movements.,Regulated
Somatic Patterns,SP13_HandsDay,What do you notice about your hands during the day?,A,"My hands often feel clenched, like they’re ready to grip something.",Fight
Somatic Patterns,SP13_HandsDay,What do you notice about your hands during the day?,B,I fidget with objects or move my fingers often without realizing it.,Flight
Somatic Patterns,SP13_HandsDay,What do you notice about your hands during the day?,C,"My hands feel limp or heavy, like they lack energy.",Freeze
Somatic Patterns,SP13_HandsDay,What do you notice about your hands during the day?,D,"My hands feel relaxed, and I only use them when needed.",Regulated
Somatic Patterns,SP14_HandsExpr,How do you use your hands when expressing yourself?,A,"I use sharp, forceful gestures or make fists without noticing.",Fight
Somatic Patterns,SP14_HandsExpr,How do you use your hands when expressing yourself?,B,"My gestures are quick, and I find myself using my hands a lot.",Flight
Somatic Patterns,SP14_HandsExpr,How do you use your hands when expressing yourself?,C,"My movements are slow, or I avoid using my hands when speaking.",Freeze
Somatic Patterns,SP14_HandsExpr,How do you use your hands when expressing yourself?,D,My hand gestures feel natural and flow with my speech.,Regulated
Somatic Patterns,SP15_JawDay,What do you notice about your jaw during the day?,A,"My jaw feels tight, clenched, or overactive.",Fight
Somatic Patterns,SP15_JawDay,What do you notice about your jaw during the day?,B,I catch myself grinding my teeth or moving my jaw frequently.,Flight
Somatic Patterns,SP15_JawDay,What do you notice about your jaw during the day?,C,"My jaw feels slack, heavy, or disconnected.",Freeze
Somatic Patterns,SP15_JawDay,What do you notice about your jaw during the day?,D,My jaw feels relaxed and balanced.,Regulated
Somatic Patterns,SP16_MouthStress,"When you’re thinking or stressed, what do you notice about your mouth?",A,I press my lips together tightly or clench my teeth.,Fight
Somatic Patterns,SP16_MouthStress,"When you’re thinking or stressed, what do you notice about your mouth?",B,"I chew on things (e.g., pens, nails) or move my mouth restlessly.",Flight
Somatic Patterns,SP16_MouthStress,"When you’re thinking or stressed, what do you notice about your mouth?",C,"My mouth feels dry or sluggish, and I avoid speaking.",Freeze
Somatic Patterns,SP16_MouthStress,"When you’re thinking or stressed, what do you notice about your mouth?",D,My mouth feels comfortable and ready to engage when I need to.,Regulated
Adaptive Resilience,AR1,I have survived by:,,"Refusing to admit or fully acknowledge certain emotions or realities, even when they were clear to others.",
Adaptive Resilience,AR2,I have survived by:,,Pushing uncomfortable thoughts or emotions out of my awareness to avoid dealing with them.,
Adaptive Resilience,AR3,I have survived by:,,Noticing feelings or behaviors in others that may actually reflect something within me.,
Adaptive Resilience,AR4,I have survived by:,,"Redirecting my emotions, like frustration or anger, toward something or someone unrelated.",
Adaptive Resilience,AR5,I have survived by:,,"Explaining or justifying my actions with logical reasons, even when the real reason might be uncomfortable to face.",
Adaptive Resilience,AR6,I have survived by:,,"Channeling intense emotions into creative projects, hobbies, or physical activities.",
Adaptive Resilience,AR7,I have survived by:,,Falling back into behaviors or habits that remind me of how I handled stress as a child.,
Adaptive Resilience,AR8,I have survived by:,,"Focusing on facts, logic, or analysis to avoid fully engaging with difficult emotions.",
Adaptive Resilience,AR9,I have survived by:,,Acting in ways that are the opposite of how I truly feel in order to protect myself or others.,
Adaptive Resilience,AR10,I have survived by:,,"Avoiding situations, people, or emotions that feel too uncomfortable or difficult to handle.",
Adaptive Resilience,AR11,I have survived by:,,Frequently pointing out flaws or faults in others to avoid looking at or confronting my own insecurities.,
Adaptive Resilience,AR12,I have survived by:,,Harshly judging or belittling myself to avoid facing deeper emotional pain or fear of not being enough.,
Health Considerations,HC1,Check any conditions you have been diagnosed with or experienced:,,"Anxiety Disorders (e.g., GAD, panic disorder, social anxiety)",
Health Considerations,HC2,Check any conditions you have been diagnosed with or experienced:,,"Depression (e.g., major depressive disorder, dysthymia)",
Health Considerations,HC3,Check any conditions you have been diagnosed with or experienced:,,PTSD or Complex PTSD,
Health Considerations,HC4,Check any conditions you have been diagnosed with or experienced:,,ADHD or Autism Spectrum,
Health Considerations,HC5,Check any conditions you have been diagnosed with or experienced:,,Chronic Fatigue Syndrome / ME,
Health Considerations,HC6,Check any conditions you have been diagnosed with or experienced:,,Fibromyalgia,
Health Considerations,HC7,Check any conditions you have been diagnosed with or experienced:,,Irritable Bowel Syndrome (IBS),
Health Considerations,HC8,Check any conditions you have been diagnosed with or experienced:,,"Dysautonomia (e.g., POTS, orthostatic hypotension)",
Health Considerations,HC9,Check any conditions you have been diagnosed with or experienced:,,Long Covid / Post-viral Syndrome,
Health Considerations,HC10,Check any conditions you have been diagnosed with or experienced:,,Hypermobility / Ehlers-Danlos Syndrome,
Health Considerations,HC11,Check any conditions you have been diagnosed with or experienced:,,Hyperthyroidism or Hypothyroidism,
